Headline,Body ID,Stance
Ferguson riots: Pregnant woman loses eye after attack,2008,unrelated
Crazy Conservatives Are Sure a Gitmo Detainee Is Running for Congress,1550,unrelated
A Russian Guy Says His Justin Bieber Ringtone Saved Him from a Bear Attack,2,unrelated
"Zombie Cat: Buried Kitty Believed Dead, Meows Back to Life",1793,unrelated
Argentina's President Adopts Boy to End Werewolf Curse,37,unrelated
Next-generation Apple iPhones' features leaked,2353,unrelated
Saudi national airline may introduce gender segregation,192,unrelated
'Zombie Cat' Claws Way Out Of Grave And Into Owners' Arms,2482,unrelated
"ISIS might be harvesting organs, Iraq tells UN",250,unrelated
Woman has surgery to get third breast: The three-boobed lady,85,unrelated
EXCLUSIVE: Apple To Unveil The Long-Awaited Redesigned MacBook,1964,discuss
50 foot crab : Is this a Crabzilla spotted in British waters?,2279,unrelated
Found! Missing Afghan Soldiers Spotted Trying to Cross Border,2312,agree
Obama Orders Fed To Adopt Euro Currency,2289,unrelated
Report: Three missing Afghan soldiers caught at Canadian border,1754,agree
3-Boobed Woman a Fake,1618,agree
"Fowler Falls For Fake Website, Makes Crazy Claim",2173,unrelated
Hugh Hefner Dead? Fans Panic That Playboy Founder Has Passed,2320,unrelated
"Hong Kong's protesters are using the 'hands up, don't shoot' gesture",2183,unrelated
TV show tricks chronic catcallers into harassing their mothers,486,unrelated
Report: Islamic State Attempting to Sell James Foley's Body for $1 Million,930,unrelated
Police officer in Charlie Hebdo investigation found dead,2316,unrelated
Hugh Hefner Dead? Fans Panic That Playboy Founder Has Passed,1452,unrelated
Purported Lisa Bonet Twitter Account Suspended Amid Cosby Controversy,1636,unrelated
Fresh agony for James Foley's family as sick ISIS fighters demand ransom for his remains,2245,agree
Hewlett Packard ‘planning to split into two’,1655,unrelated
Sexually frustrated female owl killed male because of jealousy,1980,unrelated
Joan Rivers' doctor snapped selfie during throat procedure,351,unrelated
Scorpion stings woman on OSU plane,192,unrelated
Florida woman claims to have surgically added third breast,914,unrelated
Raven-Symone Did NOT Accuse Bill Cosby Of Molestation On The View,1527,unrelated
APPLE WATCH MAY GO ON SALE IN MARCH ACCORDING TO REPORT,1124,unrelated
Crazy Conservatives Are Sure a Gitmo Detainee Is Running for Congress,1431,unrelated
Saudi Arabian airline to separate genders after passenger complaints,785,unrelated
U.S. airstrikes 'hit ISIS leader': Terror group remains silent,1275,unrelated
Report: Apple Rethinking Beats Music Brand,579,unrelated
‘I will have justice for what they did to me’: Fisherman survives horrific bear attack,656,agree
Tesla chooses Nevada for battery factory: Sources,1639,unrelated
Islamic State releases video showing beheading of Japanese hostage,279,agree
China Penis Amputation: Cruel Aunt Viciously Mutilates Nephew,328,discuss
